"","BIJ1","Volt","PvdD","GroenLinks-PvdA","D66","DENK","SP","ChristenUnie","50PLUS","NSC","Omtzigt","CDA","VVD","BBB","SGP","PVV","JA21","FVD","GroenLinks","PvdA"
"BIJ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PvdD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GroenLinks-PvdA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D66",0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0
"DENK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChristenUnie",0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1
"50PLUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NSC",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Omtzigt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDA",0,0,0,0,3,0,0,4,0,0,0,0,6,0,0,0,0,0,0,1
"VVD",0,0,0,0,3,0,0,2,0,1,0,6,0,1,0,1,0,0,0,1
"BBB",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"SGP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVV",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"JA21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GroenLinks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PvdA",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
