"","BIJ1","Volt","PvdD","GroenLinks-PvdA","D66","DENK","SP","ChristenUnie","50PLUS","NSC","Omtzigt","CDA","VVD","BBB","SGP","PVV","JA21","FVD","GroenLinks","PvdA"
"BIJ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volt",0,0,25,96,62,9,19,28,0,10,0,30,16,1,2,0,1,0,0,0
"PvdD",0,25,0,112,56,18,67,18,0,6,0,7,3,2,11,10,3,0,0,0
"GroenLinks-PvdA",0,96,112,0,285,58,385,192,0,142,0,129,96,17,57,6,3,0,0,0
"D66",0,62,56,285,0,24,99,143,0,94,0,128,105,16,42,5,17,0,0,0
"DENK",0,9,18,58,24,0,68,10,0,6,0,3,1,0,2,1,1,0,0,0
"SP",0,19,67,385,99,68,0,51,0,38,0,58,31,5,18,2,2,0,0,0
"ChristenUnie",0,28,18,192,143,10,51,0,0,196,0,204,128,23,176,13,14,0,0,0
"50PLUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NSC",0,10,6,142,94,6,38,196,0,0,0,117,141,65,78,28,9,0,0,0
"Omtzigt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDA",0,30,7,129,128,3,58,204,0,117,0,0,96,16,109,11,13,0,0,0
"VVD",0,16,3,96,105,1,31,128,0,141,0,96,0,76,65,35,20,0,0,0
"BBB",0,1,2,17,16,0,5,23,0,65,0,16,76,0,48,37,19,0,0,0
"SGP",0,2,11,57,42,2,18,176,0,78,0,109,65,48,0,13,29,2,0,0
"PVV",0,0,10,6,5,1,2,13,0,28,0,11,35,37,13,0,7,1,0,0
"JA21",0,1,3,3,17,1,2,14,0,9,0,13,20,19,29,7,0,0,0,0
"FVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"GroenLinks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PvdA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
