"","BIJ1","Volt","PvdD","GroenLinks-PvdA","D66","DENK","SP","ChristenUnie","50PLUS","NSC","Omtzigt","CDA","VVD","BBB","SGP","PVV","JA21","FVD","GroenLinks","PvdA"
"BIJ1",0,8,10,0,5,25,0,4,0,0,2,1,0,1,0,0,0,0,12,14
"Volt",8,0,22,0,25,13,11,17,0,0,12,20,11,4,5,1,4,0,48,42
"PvdD",10,22,0,0,41,6,59,17,0,0,15,8,10,7,5,17,3,2,85,63
"GroenLinks-PvdA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D66",5,25,41,0,0,27,53,151,0,0,5,121,153,3,10,6,3,1,80,96
"DENK",25,13,6,0,27,0,11,14,0,0,8,11,6,5,2,9,1,0,27,41
"SP",0,11,59,0,53,11,0,25,0,0,34,33,32,15,6,22,1,0,88,132
"ChristenUnie",4,17,17,0,151,14,25,0,0,0,7,175,117,33,60,5,7,1,40,72
"50PLUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NSC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Omtzigt",2,12,15,0,5,8,34,7,0,0,0,7,4,32,27,12,11,1,14,17
"CDA",1,20,8,0,121,11,33,175,0,0,7,0,222,16,46,18,8,0,29,70
"VVD",0,11,10,0,153,6,32,117,0,0,4,222,0,48,51,36,24,0,27,39
"BBB",1,4,7,0,3,5,15,33,0,0,32,16,48,0,38,28,62,0,9,16
"SGP",0,5,5,0,10,2,6,60,0,0,27,46,51,38,0,32,24,1,10,17
"PVV",0,1,17,0,6,9,22,5,0,0,12,18,36,28,32,0,25,1,10,25
"JA21",0,4,3,0,3,1,1,7,0,0,11,8,24,62,24,25,0,1,3,3
"FVD",0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
"GroenLinks",12,48,85,0,80,27,88,40,0,0,14,29,27,9,10,10,3,0,0,359
"PvdA",14,42,63,0,96,41,132,72,0,0,17,70,39,16,17,25,3,0,359,0
