"","50PLUS","BBB","BIJ1","BVNL","CDA","ChristenUnie","D66","DENK","FVD","GroenLinks","GroenLinks-PvdA","JA21","NSC","Omtzigt","PvdA","PvdD","PVV","SGP","SP","Volt","VVD"
"50PLUS",0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"BBB",1e-06,0,1e-06,1e-06,0.670256887405989,0.284079791989034,-0.121037869415673,-0.610335824099281,0.146234561744835,1e-06,-0.611388077765267,0.822833668973996,0.953313123556292,1e-06,1e-06,-0.957579533874745,0.834408459299845,0.873341844941336,-0.649269209740773,-0.483013130514945,1.13114399310797
"BIJ1",1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"BVNL",1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"CDA",1e-06,0.670256887405989,1e-06,1e-06,0,0.937529318566498,0.688145199727756,-0.0536936347925531,-0.416721149557811,1e-06,0.204108513374079,0.264086972335296,1.01118707518554,1e-06,1e-06,-0.234681265342189,-0.0515891274605806,0.836512966631818,-0.0631639177864294,0.366155577935962,0.896491425593034
"ChristenUnie",1e-06,0.284079791989034,1e-06,1e-06,0.937529318566498,0,0.98172397253792,0.511366583842065,-0.47038608652311,1e-06,0.8301994446359,0.0725768051257974,0.781795776000532,1e-06,1e-06,0.393514173251605,-0.38304903224625,0.770220985674684,0.590285608791034,0.916484245246773,0.344058250950251
"D66",1e-06,-0.121037869415673,1e-06,1e-06,0.688145199727756,0.98172397253792,0,0.682883931397824,-0.873399240595845,-3.17467800810778,1.25425767202836,-0.318861558621089,0.485060242192409,1e-06,1e-06,0.73760112202911,-0.809211766970683,0.213578796367955,0.772325493006656,1.45418586856575,0.143077800746876
"DENK",1e-06,-0.610335824099281,1e-06,1e-06,-0.0536936347925531,0.511366583842065,0.682883931397824,0,-0.536678067480243,1e-06,1.07011328048077,-0.68083681972036,-0.124194630413632,1e-06,1e-06,1.04591144616308,-0.994408412184264,-0.263092114323818,1.16271160308756,0.975410450542003,-0.640851180412883
"FVD",1e-06,0.146234561744835,1e-06,1e-06,-0.416721149557811,-0.47038608652311,-0.873399240595845,-0.536678067480243,0,1e-06,-0.97020657786658,0.299863596978828,-0.266248875321776,1e-06,1e-06,-1.04281208081963,0.345110504616237,0.0410091951462098,-0.705038654038044,-0.955475026542772,-0.269405636319735
"GroenLinks",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,-3.17467800810778,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,-3.17467800810778,1e-06,1e-06
"GroenLinks-PvdA",1e-06,-0.611388077765267,1e-06,1e-06,0.204108513374079,0.8301994446359,1.25425767202836,1.07011328048077,-0.97020657786658,1e-06,0,-0.693463863712195,0.0557407464700173,1e-06,1e-06,1.40262543893242,-1.13330589609445,-0.203113655362601,1.32370641398345,1.53205263984873,-0.446184252205426
"JA21",1e-06,0.822833668973996,1e-06,1e-06,0.264086972335296,0.0725768051257974,-0.318861558621089,-0.68083681972036,0.299863596978828,1e-06,-0.693463863712195,0,0.349319519280182,1e-06,1e-06,-1.02913278316181,0.662891111744086,0.632375755430484,-0.712404429699948,-0.552461872470037,0.571345042803282
"NSC",1e-06,0.953313123556292,1e-06,1e-06,1.01118707518554,0.781795776000532,0.485060242192409,-0.124194630413632,-0.266248875321776,1e-06,0.0557407464700173,0.349319519280182,0,1e-06,1e-06,-0.336749870942855,0.273557255329172,0.833356205633859,-0.0915747667680582,0.194638230380203,1.11115117345423
"Omtzigt",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"PvdA",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
