"","50PLUS","BBB","BIJ1","BVNL","CDA","ChristenUnie","D66","DENK","FVD","GroenLinks","GroenLinks-PvdA","JA21","NSC","Omtzigt","PvdA","PvdD","PVV","SGP","SP","Volt","VVD"
"50PLUS",0,1e-06,1e-06,1e-06,-2.58587367006748,-2.58587367006748,-2.58587367006748,-2.58587367006748,-2.58494416393395,-2.58494416393395,1e-06,1e-06,1e-06,1e-06,-2.58494416393395,-2.58494416393395,-2.58494416393395,-2.58587367006748,-2.58494416393395,1e-06,-2.58587367006748
"BBB",1e-06,0,-0.0576169868637939,1e-06,0.130143252109421,0.0966810313023136,-0.144990563415686,0.634865082616629,0.343000156687967,0.263062629204321,1e-06,0.710155079432621,1e-06,0.575376690070659,0.259344604670198,0.211939791860129,0.597684837275398,0.775220508779775,0.440598300708698,0.281652751874937,0.0780909086316983
"BIJ1",1e-06,-0.0576169868637939,0,1e-06,-0.468458697884394,-0.188677351691632,-0.061335011397917,0.684128907693759,-0.779843252617201,0.773361496512713,1e-06,-0.68224510859647,1e-06,-0.121752910077417,0.773361496512713,0.883043220269344,-0.540960176299794,-0.33089179012184,0.764066435177405,0.768713965845059,-0.59673054431164
"BVNL",1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"CDA",-2.58587367006748,0.130143252109421,-0.468458697884394,1e-06,0,1.33292418889824,1.14516394992502,0.122707203041175,-0.414547342139609,0.155239917714752,1e-06,0.136649795044137,1e-06,0.343000156687967,0.157098929981814,-0.205408462095186,-0.254672287172317,0.764066435177405,-0.145920069549217,0.229600408397214,1.41472072864894
"ChristenUnie",-2.58587367006748,0.0966810313023136,-0.188677351691632,1e-06,1.33292418889824,0,1.34128974410001,0.34578867508856,-0.626474740584624,0.472201509248744,1e-06,-0.0464629132614247,1e-06,0.40713607990159,0.477778546049929,0.124566215308237,-0.364354010928947,0.725956683702644,0.165464485183591,0.534478420195306,1.17211962779741
"D66",-2.58587367006748,-0.144990563415686,-0.061335011397917,1e-06,1.14516394992502,1.34128974410001,0,0.35880176095799,-0.783561277151324,0.641371625551344,1e-06,-0.28255747117824,1e-06,0.196138187590106,0.643230637818406,0.23796596359899,-0.562338817371001,0.424796696438675,0.182195595587144,0.703648536497905,1.08474605124552
"DENK",-2.58587367006748,0.634865082616629,0.684128907693759,1e-06,0.122707203041175,0.34578867508856,0.35880176095799,0,-0.351340925059517,1.09961814938201,1e-06,-0.0538989623296708,1e-06,0.427585214839267,1.10333617391614,0.981570870423605,0.0186025160857291,0.29745435614496,1.04849531203782,1.07266247150962,0.00558943021629834
"FVD",-2.58494416393395,0.343000156687967,-0.779843252617201,1e-06,-0.414547342139609,-0.626474740584624,-0.783561277151324,-0.351340925059517,0,-0.791926832353101,1e-06,0.670186315690798,1e-06,-0.230505127700517,-0.791926832353101,-0.619968197649909,0.834708901325744,0.0539237491598983,-0.387591664267217,-0.775195721949547,-0.394098207201932
"GroenLinks",-2.58494416393395,0.263062629204321,0.773361496512713,1e-06,0.155239917714752,0.472201509248744,0.641371625551344,1.09961814938201,-0.791926832353101,0,1e-06,-0.430348946409632,1e-06,0.313255960414983,1.8153378722007,1.26692925341755,-0.369931047730132,0.174759546518898,1.1051951861832,1.51417788493674,1.23934151137323e-05
"GroenLinks-PvdA",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"JA21",1e-06,0.710155079432621,-0.68224510859647,1e-06,0.136649795044137,-0.0464629132614247,-0.28255747117824,-0.0538989623296708,0.670186315690798,-0.430348946409632,1e-06,0,1e-06,0.251908555601952,-0.430348946409632,-0.474965240819109,0.747335324773852,0.584671751405967,-0.213774017296963,-0.365283517062478,0.171041521984775
"NSC",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"Omtzigt",1e-06,0.575376690070659,-0.121752910077417,1e-06,0.343000156687967,0.40713607990159,0.196138187590106,0.427585214839267,-0.230505127700517,0.313255960414983,1e-06,0.251908555601952,1e-06,0,0.316044478815575,0.183125101720675,0.0418401694239983,0.683199401560229,0.293736331610837,0.361590279358583,0.216587322527783
"PvdA",-2.58494416393395,0.259344604670198,0.773361496512713,1e-06,0.157098929981814,0.477778546049929,0.643230637818406,1.10333617391614,-0.791926832353101,1.8153378722007,1e-06,-0.430348946409632,1e-06,0.316044478815575,0,1.26692925341755,-0.373649072264255,0.172900534251837,1.1051951861832,1.5160368972038,0.00187140568217527
"PvdD",-2.58494416393395,0.211939791860129,0.883043220269344,1e-06,-0.205408462095186,0.124566215308237,0.23796596359899,0.981570870423605,-0.619968197649909,1.26692925341755,1e-06,-0.474965240819109,1e-06,0.183125101720675,1.26692925341755,0,-0.321596728786532,-0.0185777292555016,1.23346703261044,1.15445901126033,-0.362494998661886
"PVV",-2.58494416393395,0.597684837275398,-0.540960176299794,1e-06,-0.254672287172317,-0.364354010928947,-0.562338817371001,0.0186025160857291,0.834708901325744,-0.369931047730132,1e-06,0.747335324773852,1e-06,0.0418401694239983,-0.373649072264255,-0.321596728786532,0,0.264921641471383,-0.0520399500626093,-0.40339326853724,-0.240729695169355
"SGP",-2.58587367006748,0.775220508779775,-0.33089179012184,1e-06,0.764066435177405,0.725956683702644,0.424796696438675,0.29745435614496,0.0539237491598983,0.174759546518898,1e-06,0.584671751405967,1e-06,0.683199401560229,0.172900534251837,-0.0185777292555016,0.264921641471383,0,0.137579301177667,0.240754481999583,0.666468291156675
"SP",-2.58494416393395,0.440598300708698,0.764066435177405,1e-06,-0.145920069549217,0.165464485183591,0.182195595587144,1.04849531203782,-0.387591664267217,1.1051951861832,1e-06,-0.213774017296963,1e-06,0.293736331610837,1.1051951861832,1.23346703261044,-0.0520399500626093,0.137579301177667,0,1.00573802989541,-0.275121422109994
"Volt",1e-06,0.281652751874937,0.768713965845059,1e-06,0.229600408397214,0.534478420195306,0.703648536497905,1.07266247150962,-0.775195721949547,1.51417788493674,1e-06,-0.365283517062478,1e-06,0.361590279358583,1.5160368972038,1.15445901126033,-0.40339326853724,0.240754481999583,1.00573802989541,0,0.0808794270322906
"VVD",-2.58587367006748,0.0780909086316983,-0.59673054431164,1e-06,1.41472072864894,1.17211962779741,1.08474605124552,0.00558943021629834,-0.394098207201932,1.23934151137323e-05,1e-06,0.171041521984775,1e-06,0.216587322527783,0.00187140568217527,-0.362494998661886,-0.240729695169355,0.666468291156675,-0.275121422109994,0.0808794270322906,0
