"","50PLUS","BBB","BIJ1","BVNL","CDA","ChristenUnie","D66","DENK","FVD","GroenLinks","GroenLinks-PvdA","JA21","NSC","Omtzigt","PvdA","PvdD","PVV","SGP","SP","Volt","VVD"
"50PLUS",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"BBB",1e-06,-3.96699636912531,-0.783527218826479,1e-06,0.0813220975548343,-0.141067726657503,-0.622912345784235,0.250173630753091,0.369605203015272,-0.371694211025854,1e-06,0.818503181517954,1e-06,0.390196853405303,-0.37581254110386,-0.544664074302116,0.666124968631722,0.900869783078079,-0.206961007905603,-0.351102560635822,0.0977954178668593
"BIJ1",1e-06,-0.783527218826479,1e-06,1e-06,-0.865893820386604,-0.165777707125541,-0.0504644649413658,0.802029861205929,-1.54129995317963,1.01206469518425,1e-06,-1.47540667193153,1e-06,-0.454060812585979,1.02030135534026,1.13973292760244,-1.10887529498897,-0.725870597734391,1.01618302526225,0.966763064326179,-1.21595187701714
"BVNL",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"CDA",1e-06,0.0813220975548343,-0.865893820386604,1e-06,1e-06,1.3085844608007,1.05736632604232,-0.17813269735956,-0.67233230672031,-0.165777707125541,1e-06,-0.0010445040052908,1e-06,0.431380154185366,-0.169896037203547,-0.548782404380122,-0.44170582235196,0.839094831907985,-0.499362443444047,-0.0010445040052908,1.49802764438899
"ChristenUnie",1e-06,-0.141067726657503,-0.165777707125541,1e-06,1.3085844608007,1e-06,1.42801603306288,0.241936970597078,-1.17476857623707,0.575521706915585,1e-06,-0.482889123132022,1e-06,0.571403376837578,0.579640036993591,0.192517009661003,-0.688805627032335,0.682598288943747,0.266646951065116,0.732018249879822,0.872041472532035
"D66",1e-06,-0.622912345784235,-0.0504644649413658,1e-06,1.05736632604232,1.42801603306288,1e-06,0.106032078022872,-1.3889217402934,0.810266521361941,1e-06,-0.882367140698629,1e-06,0.159570369036953,0.806148191283935,0.311948581923184,-1.11299362506698,0.167807029192966,0.196635339739009,0.983236384638204,0.876159802610041
"DENK",1e-06,0.250173630753091,0.802029861205929,1e-06,-0.17813269735956,0.241936970597078,0.106032078022872,1e-06,-0.824710519606542,1.13149626744643,1e-06,-0.614675685628223,1e-06,0.204871999895022,1.13561459752444,0.999709704950229,-0.24402597860766,0.011310486228728,1.27151949009864,1.0450113358083,-0.458179142663985
"FVD",1e-06,0.369605203015272,-1.54129995317963,1e-06,-0.67233230672031,-1.17476857623707,-1.3889217402934,-0.824710519606542,1e-06,-1.5907199141157,1e-06,0.834976501829979,1e-06,-0.655858986408285,-1.59483824419371,-1.47540667193153,0.917343103390104,-0.0792927754874096,-1.12123028522299,-1.55365494341365,-0.598202365316198
"GroenLinks",1e-06,-0.371694211025854,1.01206469518425,1e-06,-0.165777707125541,0.575521706915585,0.810266521361941,1.13149626744643,-1.5907199141157,1e-06,1e-06,-1.22830686725115,1e-06,0.163688699114959,2.39170527131634,1.75748243930338,-0.886485470776635,-0.157541046969528,1.45272601353092,1.84396737094151,-0.528190753990091
"GroenLinks-PvdA",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"JA21",1e-06,0.818503181517954,-1.47540667193153,1e-06,-0.0010445040052908,-0.482889123132022,-0.882367140698629,-0.614675685628223,0.834976501829979,-1.22830686725115,1e-06,1e-06,1e-06,-0.0875294356434221,-1.23242519732916,-1.35597509966935,0.830858171751972,0.497273435433466,-0.96885207233676,-1.09240197467695,0.101913747944866
