"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"CDA","BBB",0.426308294198522,327,0.723451327433628,452,0.426308294198522,1.71315414709926,"#80808026"
"ChristenUnie","BBB",0.34848622901188,321,0.670146137787056,479,0.34848622901188,1.67424311450594,"#80808026"
"D66","BBB",-0.338942013470122,268,0.530693069306931,505,-0.338942013470122,1.33052899326494,"#80808026"
"BBB","DENK",-1.14310335373209,206,0.460850111856823,447,-1.14310335373209,0.928448323133956,"#80808026"
"FVD","BBB",0.0242276240675396,296,0.627118644067797,472,0.0242276240675396,1.51211381203377,"#80808026"
"GroenLinks-PvdA","BBB",-1.15607369792986,205,0.422680412371134,485,-1.15607369792986,0.921963151035069,"#80808026"
"JA21","BBB",0.439278638396296,328,0.761020881670534,431,0.439278638396296,1.71963931919815,"#80808026"
"NSC","BBB",0.906211029516147,364,0.738336713995943,493,0.906211029516147,1.95310551475807,"#80808026"
"PVV","BBB",1.10076619248275,379,0.767206477732793,494,1.10076619248275,2.05038309624138,"#4D4D4DCC"
"PvdD","BBB",-1.71379849843413,162,0.371559633027523,436,-1.71379849843413,0.643100750782936,"#80808026"
"SGP","BBB",0.867299996922826,361,0.769722814498934,469,0.867299996922826,1.93364999846141,"#80808026"
"SP","BBB",-0.961518534963257,220,0.478260869565217,460,-0.961518534963257,1.01924073251837,"#80808026"
"VVD","BBB",1.373143420636,400,0.811359026369168,493,1.373143420636,2.186571710318,"#4D4D4DCC"
"Volt","BBB",-0.961518534963257,220,0.491071428571429,448,-0.961518534963257,1.01924073251837,"#80808026"
"CDA","ChristenUnie",1.13967722507607,382,0.826839826839827,462,1.13967722507607,2.06983861253804,"#4D4D4DCC"
"CDA","D66",0.672744833956221,346,0.748917748917749,462,0.672744833956221,1.83637241697811,"#80808026"
"CDA","DENK",-0.144386850503518,283,0.58592132505176,483,-0.144386850503518,1.42780657474824,"#80808026"
"CDA","FVD",-0.637259930018916,245,0.520169851380042,471,-0.637259930018916,1.18137003499054,"#80808026"
"GroenLinks-PvdA","CDA",0.011257279869766,295,0.594758064516129,496,0.011257279869766,1.50562863993488,"#80808026"
"CDA","JA21",0.011257279869766,295,0.661434977578475,446,0.011257279869766,1.50562863993488,"#80808026"
"NSC","CDA",1.21749929026271,388,0.790224032586558,491,1.21749929026271,2.10874964513136,"#4D4D4DCC"
"CDA","PVV",-0.196268227294612,279,0.58004158004158,481,-0.196268227294612,1.40186588635269,"#80808026"
"PvdD","CDA",-0.572408209030048,250,0.574712643678161,435,-0.572408209030048,1.21379589548498,"#80808026"
"SGP","CDA",0.504130359385164,333,0.743303571428571,448,0.504130359385164,1.75206517969258,"#80808026"
"SP","CDA",-0.22220891569016,277,0.590618336886994,469,-0.22220891569016,1.38889554215492,"#80808026"
"VVD","CDA",0.945122062109468,367,0.764583333333333,480,0.945122062109468,1.97256103105473,"#80808026"
"Volt","CDA",0.102049689254181,302,0.671111111111111,450,0.102049689254181,1.55102484462709,"#80808026"
"ChristenUnie","D66",1.02294412729611,373,0.734251968503937,508,1.02294412729611,2.01147206364805,"#4D4D4DCC"
