"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"BBB","BIJ1",-0.16543820722915,1763,0.537172455819622,3282,-0.16543820722915,1.41728089638542,"#80808026"
"CDA","BBB",0.221316404376886,2033,0.614385010577214,3309,0.221316404376886,1.61065820218844,"#80808026"
"BBB","ChristenUnie",0.152560028980258,1985,0.601879927228623,3298,0.152560028980258,1.57628001449013,"#80808026"
"D66","BBB",-0.111006076706819,1801,0.542796865581676,3318,-0.111006076706819,1.44449696164659,"#80808026"
"DENK","BBB",0.711205579077866,2375,0.719261053906723,3302,0.711205579077866,1.85560278953893,"#80808026"
"BBB","Ephraim",-2.37853404030814,218,0.198181818181818,1100,-2.37853404030814,0.310732979845932,"#80808026"
"BBB","FVD",0.394639767355888,2154,0.652134423251589,3303,0.394639767355888,1.69731988367794,"#80808026"
"Fractie Den Haan","BBB",0.344504910295846,2119,0.642900485436893,3296,0.344504910295846,1.67225245514792,"#80808026"
"BBB","G<U+00FC>ndogan",-0.274302468273812,1687,0.512298815669602,3293,-0.274302468273812,1.36284876586309,"#80808026"
"BBB","GroenLinks",0.314423996059821,2098,0.633454106280193,3312,0.314423996059821,1.65721199802991,"#80808026"
"BBB","Groep Van Haga",0.775664681012205,2420,0.733111178430779,3301,0.775664681012205,1.8878323405061,"#80808026"
"BBB","JA21",0.765637709600197,2413,0.732321699544765,3295,0.765637709600197,1.8828188548001,"#80808026"
"Omtzigt","BBB",0.480585236601674,2214,0.672743846855059,3291,0.480585236601674,1.74029261830084,"#80808026"
"BBB","PVV",0.731259521901883,2389,0.721534279673815,3311,0.731259521901883,1.86562976095094,"#80808026"
"BBB","PvdA",0.308694298110102,2094,0.633969118982743,3303,0.308694298110102,1.65434714905505,"#80808026"
"PvdD","BBB",0.235640649251184,2043,0.619466343238326,3298,0.235640649251184,1.61782032462559,"#80808026"
"BBB","SGP",0.911745007318033,2515,0.761429003935816,3303,0.911745007318033,1.95587250365902,"#80808026"
"BBB","SP",0.466260991727376,2204,0.666263603385732,3308,0.466260991727376,1.73313049586369,"#80808026"
"BBB","VVD",0.166884273854555,1995,0.602173256866888,3313,0.166884273854555,1.58344213692728,"#80808026"
