"from","to","weight","agreement_rate","total_votes","width","color"
"GroenLinks-PvdA","DENK",628,0.779156327543424,806,2.63128491620112,"#808080D9"
"GroenLinks-PvdA","PvdD",693,0.84718826405868,818,2.9036312849162,"#808080D9"
"GroenLinks-PvdA","CDA",533,0.629279811097993,847,2.23324022346369,"#80808014"
"GroenLinks-PvdA","PVV",301,0.332229580573951,906,1.26117318435754,"#80808014"
"GroenLinks-PvdA","VVD",398,0.469339622641509,848,1.66759776536313,"#80808014"
"GroenLinks-PvdA","SGP",433,0.529987760097919,817,1.81424581005587,"#80808014"
"GroenLinks-PvdA","NSC",547,0.593919652551574,921,2.29189944134078,"#80808014"
"PvdD","DENK",613,0.78388746803069,782,2.56843575418994,"#80808014"
"CDA","DENK",458,0.579013906447535,791,1.91899441340782,"#80808014"
"DENK","PVV",348,0.411834319526627,845,1.45810055865922,"#80808014"
"VVD","DENK",339,0.434615384615385,780,1.42039106145251,"#80808014"
"SGP","DENK",437,0.538177339901478,812,1.83100558659218,"#80808014"
"NSC","DENK",466,0.567600487210719,821,1.95251396648045,"#80808014"
"PvdD","CDA",437,0.542857142857143,805,1.83100558659218,"#80808014"
"PvdD","PVV",291,0.327702702702703,888,1.21927374301676,"#80808014"
"PvdD","VVD",325,0.398773006134969,815,1.36173184357542,"#80808014"
"PvdD","SGP",366,0.465057179161372,787,1.53351955307263,"#80808014"
"PvdD","NSC",453,0.522491349480969,867,1.89804469273743,"#80808014"
"CDA","PVV",483,0.547619047619048,882,2.02374301675978,"#80808014"
"VVD","CDA",594,0.71825876662636,827,2.48882681564246,"#80808014"
"SGP","CDA",594,0.740648379052369,802,2.48882681564246,"#80808014"
"CDA","NSC",684,0.766816143497758,892,2.8659217877095,"#808080D9"
"VVD","PVV",613,0.686450167973124,893,2.56843575418994,"#80808014"
"SGP","PVV",535,0.650851581508516,822,2.24162011173184,"#80808014"
"NSC","PVV",577,0.621097954790097,929,2.41759776536313,"#80808014"
"SGP","VVD",543,0.688212927756654,789,2.27513966480447,"#80808014"
"VVD","NSC",660,0.754285714285714,875,2.76536312849162,"#808080D9"
