"from","to","weight","agreement_rate","total_votes","width","color"
"DENK","Volt",2721,0.82504548211037,3298,2.47138964577657,"#808080D9"
"DENK","SGP",2154,0.649969824984913,3314,1.95640326975477,"#80808014"
"DENK","FVD",1639,0.494717778448536,3313,1.48864668483197,"#80808014"
"DENK","PVV",1953,0.587368421052632,3325,1.77384196185286,"#80808014"
"DENK","BIJ1",2343,0.712591240875912,3288,2.12806539509537,"#808080D9"
"DENK","BBB",2375,0.719261053906723,3302,2.15712988192552,"#808080D9"
"DENK","CDA",2008,0.604455147501505,3322,1.82379654859219,"#80808014"
"DENK","PvdA",2755,0.830820265379976,3316,2.50227066303361,"#808080D9"
"DENK","GroenLinks",2754,0.828270676691729,3325,2.50136239782016,"#808080D9"
"DENK","D66",2178,0.653857700390273,3331,1.97820163487738,"#80808014"
"DENK","VVD",1899,0.57095610342754,3326,1.72479564032698,"#80808014"
"DENK","G<U+00FC>ndogan",2035,0.616853591997575,3299,1.84831970935513,"#80808014"
"DENK","Omtzigt",2155,0.653624507127692,3297,1.95731153496821,"#80808014"
"DENK","JA21",1815,0.549500454132607,3303,1.64850136239782,"#80808014"
"DENK","Fractie Den Haan",2586,0.783161720169594,3302,2.34877384196185,"#808080D9"
"DENK","ChristenUnie",2195,0.662941709453337,3311,1.9936421435059,"#80808014"
"DENK","SP",2733,0.822944896115628,3321,2.48228882833787,"#808080D9"
"DENK","PvdD",2671,0.807192505288607,3309,2.42597638510445,"#808080D9"
"DENK","Groep Van Haga",1844,0.557268056814748,3309,1.67484105358765,"#80808014"
"Volt","SGP",2090,0.633333333333333,3300,1.89827429609446,"#80808014"
"Volt","FVD",1323,0.400909090909091,3300,1.2016348773842,"#80808014"
"PVV","Volt",1612,0.487450861808285,3307,1.46412352406903,"#80808014"
"Volt","BIJ1",2417,0.736890243902439,3280,2.1952770208901,"#808080D9"
"BBB","Volt",2103,0.638821385176185,3292,1.91008174386921,"#80808014"
"CDA","Volt",2078,0.628554143980641,3306,1.88737511353315,"#80808014"
"PvdA","Volt",3081,0.933353529233566,3301,2.7983651226158,"#808080D9"
"Volt","GroenLinks",3079,0.930773881499395,3308,2.79654859218892,"#808080D9"
"D66","Volt",2480,0.748340374170187,3314,2.25249772933697,"#808080D9"
"Volt","VVD",1943,0.587186461166516,3309,1.76475930971844,"#80808014"
"Volt","G<U+00FC>ndogan",2234,0.678821027043452,3291,2.02906448683015,"#80808014"
"Omtzigt","Volt",2142,0.651261781696564,3289,1.94550408719346,"#80808014"
"Volt","JA21",1582,0.48041299726693,3293,1.43687556766576,"#80808014"
"Fractie Den Haan","Volt",2652,0.805100182149363,3294,2.40871934604905,"#808080D9"
"Volt","ChristenUnie",2345,0.711468446601942,3296,2.12988192552225,"#808080D9"
"Volt","SP",2708,0.819116757410768,3306,2.45958219800182,"#808080D9"
"PvdD","Volt",2833,0.859787556904401,3295,2.57311534968211,"#808080D9"
"Volt","Groep Van Haga",1532,0.464664846830452,3297,1.39146230699364,"#80808014"
"FVD","SGP",1989,0.599819059107358,3316,1.80653950953678,"#80808014"
"PVV","SGP",2168,0.651638112413586,3327,1.96911898274296,"#80808014"
"BIJ1","SGP",1618,0.491793313069909,3290,1.46957311534968,"#80808014"
"BBB","SGP",2515,0.761429003935816,3303,2.28428701180745,"#808080D9"
"CDA","SGP",2483,0.746766917293233,3325,2.25522252497729,"#808080D9"
"PvdA","SGP",2051,0.618143459915612,3318,1.86285195277021,"#80808014"
"GroenLinks","SGP",2057,0.618088942307692,3328,1.86830154405086,"#80808014"
"D66","SGP",2215,0.664167916041979,3335,2.01180744777475,"#80808014"
"VVD","SGP",2392,0.718534094322619,3329,2.17257039055404,"#808080D9"
"G<U+00FC>ndogan","SGP",1738,0.526507119054832,3301,1.57856494096276,"#80808014"
"Omtzigt","SGP",2329,0.705971506517126,3299,2.11534968210718,"#808080D9"
"JA21","SGP",2348,0.710868907054193,3303,2.13260672116258,"#808080D9"
"Fractie Den Haan","SGP",2031,0.614709443099274,3304,1.84468664850136,"#80808014"
"ChristenUnie","SGP",2442,0.736873868436934,3314,2.21798365122616,"#808080D9"
"SP","SGP",2030,0.610526315789474,3325,1.84377838328792,"#80808014"
"PvdD","SGP",1922,0.579788838612368,3315,1.74568574023615,"#80808014"
"Groep Van Haga","SGP",2246,0.67834491090305,3311,2.03996366939146,"#80808014"
"PVV","FVD",2539,0.763609022556391,3325,2.30608537693006,"#808080D9"
"FVD","BIJ1",1230,0.373860182370821,3290,1.11716621253406,"#80808014"
"BBB","FVD",2154,0.652134423251589,3303,1.95640326975477,"#80808014"
"CDA","FVD",1658,0.498946734878122,3323,1.50590372388738,"#80808014"
"PvdA","FVD",1325,0.399457340970757,3317,1.20345140781108,"#80808014"
"FVD","GroenLinks",1328,0.399158400961827,3327,1.20617620345141,"#80808014"
"D66","FVD",1362,0.408518296340732,3334,1.23705722070845,"#80808014"
"FVD","VVD",1680,0.504807692307692,3328,1.52588555858311,"#80808014"
"FVD","G<U+00FC>ndogan",1035,0.313541351105726,3301,0.940054495912807,"#80808014"
"Omtzigt","FVD",1625,0.492573507123371,3299,1.47593097184378,"#80808014"
"FVD","JA21",2434,0.736459909228442,3305,2.21071752951862,"#808080D9"
"Fractie Den Haan","FVD",1343,0.406476997578692,3304,1.21980018165304,"#80808014"
"FVD","ChristenUnie",1463,0.441727053140097,3312,1.32879200726612,"#80808014"
"FVD","SP",1582,0.475932611311673,3324,1.43687556766576,"#80808014"
"PvdD","FVD",1406,0.424645122319541,3311,1.27702089009991,"#80808014"
"FVD","Groep Van Haga",2655,0.800904977375566,3315,2.41144414168937,"#808080D9"
"PVV","BIJ1",1433,0.434637549287231,3297,1.30154405086285,"#80808014"
"BBB","PVV",2389,0.721534279673815,3311,2.16984559491371,"#808080D9"
"CDA","PVV",1776,0.531895777178796,3339,1.61307901907357,"#80808014"
"PVV","PvdA",1659,0.497899159663866,3332,1.50681198910082,"#80808014"
"PVV","GroenLinks",1665,0.497757847533632,3345,1.51226158038147,"#80808014"
"D66","PVV",1514,0.451940298507463,3350,1.37511353315168,"#80808014"
"PVV","VVD",1802,0.538714499252616,3345,1.63669391462307,"#80808014"
"PVV","G<U+00FC>ndogan",1213,0.366686819830713,3308,1.10172570390554,"#80808014"
"Omtzigt","PVV",1862,0.563218390804598,3306,1.69118982742961,"#80808014"
"PVV","JA21",2504,0.756038647342995,3312,2.27429609445958,"#808080D9"
"Fractie Den Haan","PVV",1628,0.491694352159468,3311,1.47865576748411,"#80808014"
"PVV","ChristenUnie",1667,0.501202645820806,3326,1.51407811080836,"#80808014"
"PVV","SP",1878,0.562443845462713,3339,1.70572207084469,"#80808014"
"PvdD","PVV",1667,0.501202645820806,3326,1.51407811080836,"#80808014"
"PVV","Groep Van Haga",2595,0.780920854649413,3323,2.35694822888283,"#808080D9"
"BBB","BIJ1",1763,0.537172455819622,3282,1.60127157129882,"#80808014"
"CDA","BIJ1",1510,0.458131067961165,3296,1.37148047229791,"#80808014"
"PvdA","BIJ1",2425,0.736858097842601,3291,2.20254314259764,"#808080D9"
"GroenLinks","BIJ1",2424,0.734990903577926,3298,2.2016348773842,"#808080D9"
"D66","BIJ1",1833,0.554782082324455,3304,1.66485013623978,"#80808014"
"BIJ1","VVD",1387,0.420430433464686,3299,1.2597638510445,"#80808014"
"G<U+00FC>ndogan","BIJ1",1747,0.532459615970741,3281,1.58673932788374,"#80808014"
"Omtzigt","BIJ1",1754,0.534919182677646,3279,1.59309718437784,"#80808014"
"JA21","BIJ1",1289,0.392628693268352,3283,1.17075386012716,"#80808014"
"Fractie Den Haan","BIJ1",2224,0.677222898903776,3284,2.01998183469573,"#80808014"
"ChristenUnie","BIJ1",1744,0.530736457699331,3286,1.58401453224341,"#80808014"
"BIJ1","SP",2406,0.72997572815534,3296,2.18528610354223,"#808080D9"
"PvdD","BIJ1",2490,0.758221680876979,3284,2.26158038147139,"#808080D9"
