"from","to","weight","coauthoring_count"
"50PLUS","BBB",1e-06,0
"50PLUS","BIJ1",1e-06,0
"50PLUS","BVNL",1e-06,0
"50PLUS","CDA",1e-06,0
"50PLUS","ChristenUnie",1e-06,0
"50PLUS","D66",1e-06,0
"50PLUS","DENK",1e-06,0
"50PLUS","FVD",1e-06,0
"50PLUS","GroenLinks",1e-06,0
"50PLUS","GroenLinks-PvdA",1e-06,0
"50PLUS","JA21",1e-06,0
"50PLUS","NSC",1e-06,0
"50PLUS","Omtzigt",1e-06,0
"50PLUS","PvdA",1e-06,0
"50PLUS","PvdD",1e-06,0
"50PLUS","PVV",1e-06,0
"50PLUS","SGP",1e-06,0
"50PLUS","SP",1e-06,0
"50PLUS","Volt",1e-06,0
"50PLUS","VVD",1e-06,0
"BBB","BIJ1",1e-06,0
"BBB","BVNL",1e-06,0
"BBB","CDA",0.670256887405989,16
"BBB","ChristenUnie",0.284079791989034,23
"BBB","D66",-0.121037869415673,16
"BBB","DENK",-0.610335824099281,0
"BBB","FVD",0.146234561744835,0
"BBB","GroenLinks",1e-06,0
"BBB","GroenLinks-PvdA",-0.611388077765267,17
"BBB","JA21",0.822833668973996,19
"BBB","NSC",0.953313123556292,65
"BBB","Omtzigt",1e-06,0
"BBB","PvdA",1e-06,0
"BBB","PvdD",-0.957579533874745,2
"BBB","PVV",0.834408459299845,37
"BBB","SGP",0.873341844941336,48
"BBB","SP",-0.649269209740773,5
"BBB","Volt",-0.483013130514945,1
"BBB","VVD",1.13114399310797,76
"BIJ1","BVNL",1e-06,0
"BIJ1","CDA",1e-06,0
"BIJ1","ChristenUnie",1e-06,0
"BIJ1","D66",1e-06,0
"BIJ1","DENK",1e-06,0
"BIJ1","FVD",1e-06,0
"BIJ1","GroenLinks",1e-06,0
"BIJ1","GroenLinks-PvdA",1e-06,0
"BIJ1","JA21",1e-06,0
"BIJ1","NSC",1e-06,0
"BIJ1","Omtzigt",1e-06,0
"BIJ1","PvdA",1e-06,0
"BIJ1","PvdD",1e-06,0
"BIJ1","PVV",1e-06,0
"BIJ1","SGP",1e-06,0
"BIJ1","SP",1e-06,0
"BIJ1","Volt",1e-06,0
"BIJ1","VVD",1e-06,0
"BVNL","CDA",1e-06,0
"BVNL","ChristenUnie",1e-06,0
"BVNL","D66",1e-06,0
"BVNL","DENK",1e-06,0
