"from","to","weight","coauthoring_count"
"50PLUS","BBB",1e-06,0
"50PLUS","BIJ1",1e-06,0
"50PLUS","BVNL",1e-06,0
"50PLUS","CDA",-2.58587367006748,0
"50PLUS","ChristenUnie",-2.58587367006748,0
"50PLUS","D66",-2.58587367006748,0
"50PLUS","DENK",-2.58587367006748,0
"50PLUS","FVD",-2.58494416393395,0
"50PLUS","GroenLinks",-2.58494416393395,0
"50PLUS","GroenLinks-PvdA",1e-06,0
"50PLUS","JA21",1e-06,0
"50PLUS","NSC",1e-06,0
"50PLUS","Omtzigt",1e-06,0
"50PLUS","PvdA",-2.58494416393395,0
"50PLUS","PvdD",-2.58494416393395,0
"50PLUS","PVV",-2.58494416393395,0
"50PLUS","SGP",-2.58587367006748,0
"50PLUS","SP",-2.58494416393395,0
"50PLUS","Volt",1e-06,0
"50PLUS","VVD",-2.58587367006748,0
"BBB","BIJ1",-0.0576169868637939,1
"BBB","BVNL",1e-06,0
"BBB","CDA",0.130143252109421,16
"BBB","ChristenUnie",0.0966810313023136,33
"BBB","D66",-0.144990563415686,3
"BBB","DENK",0.634865082616629,5
"BBB","FVD",0.343000156687967,0
"BBB","GroenLinks",0.263062629204321,9
"BBB","GroenLinks-PvdA",1e-06,0
"BBB","JA21",0.710155079432621,62
"BBB","NSC",1e-06,0
"BBB","Omtzigt",0.575376690070659,32
"BBB","PvdA",0.259344604670198,16
"BBB","PvdD",0.211939791860129,7
"BBB","PVV",0.597684837275398,28
"BBB","SGP",0.775220508779775,38
"BBB","SP",0.440598300708698,15
"BBB","Volt",0.281652751874937,4
"BBB","VVD",0.0780909086316983,48
"BIJ1","BVNL",1e-06,0
"BIJ1","CDA",-0.468458697884394,1
"BIJ1","ChristenUnie",-0.188677351691632,4
"BIJ1","D66",-0.061335011397917,5
"BIJ1","DENK",0.684128907693759,25
"BIJ1","FVD",-0.779843252617201,0
"BIJ1","GroenLinks",0.773361496512713,12
"BIJ1","GroenLinks-PvdA",1e-06,0
"BIJ1","JA21",-0.68224510859647,0
"BIJ1","NSC",1e-06,0
"BIJ1","Omtzigt",-0.121752910077417,2
"BIJ1","PvdA",0.773361496512713,14
"BIJ1","PvdD",0.883043220269344,10
"BIJ1","PVV",-0.540960176299794,0
"BIJ1","SGP",-0.33089179012184,0
"BIJ1","SP",0.764066435177405,0
