"from","to","weight_normalized","weight","coauthoring_count"
"GroenLinks-PvdA","DENK",1.07011328048077,1.07011328048077,58
"PvdD","GroenLinks-PvdA",1.40262543893242,1.40262543893242,112
"GroenLinks-PvdA","CDA",0.204108513374079,0.204108513374079,129
"GroenLinks-PvdA","PVV",-1.13330589609445,-1.13330589609445,6
"GroenLinks-PvdA","VVD",-0.446184252205426,-0.446184252205426,96
"GroenLinks-PvdA","SGP",-0.203113655362601,-0.203113655362601,57
"GroenLinks-PvdA","NSC",0.0557407464700173,0.0557407464700173,142
"GroenLinks-PvdA","SP",1.32370641398345,1.32370641398345,385
"GroenLinks-PvdA","D66",1.25425767202836,1.25425767202836,285
"GroenLinks-PvdA","ChristenUnie",0.8301994446359,0.8301994446359,192
"Volt","GroenLinks-PvdA",1.53205263984873,1.53205263984873,96
"GroenLinks-PvdA","JA21",-0.693463863712195,-0.693463863712195,3
"GroenLinks-PvdA","FVD",-0.97020657786658,-0.97020657786658,0
"GroenLinks-PvdA","BBB",-0.611388077765267,-0.611388077765267,17
"PvdD","DENK",1.04591144616308,1.04591144616308,18
"DENK","CDA",-0.0536936347925531,-0.0536936347925531,3
"DENK","PVV",-0.994408412184264,-0.994408412184264,1
"DENK","VVD",-0.640851180412883,-0.640851180412883,1
"DENK","SGP",-0.263092114323818,-0.263092114323818,2
"DENK","NSC",-0.124194630413632,-0.124194630413632,6
"DENK","SP",1.16271160308756,1.16271160308756,68
"D66","DENK",0.682883931397824,0.682883931397824,24
"DENK","ChristenUnie",0.511366583842065,0.511366583842065,10
"Volt","DENK",0.975410450542003,0.975410450542003,9
"DENK","JA21",-0.68083681972036,-0.68083681972036,1
"DENK","FVD",-0.536678067480243,-0.536678067480243,0
"DENK","BBB",-0.610335824099281,-0.610335824099281,0
"PvdD","CDA",-0.234681265342189,-0.234681265342189,7
"PvdD","PVV",-1.32376380963796,-1.32376380963796,10
"PvdD","VVD",-0.880765016257749,-0.880765016257749,3
"PvdD","SGP",-0.591395258111529,-0.591395258111529,11
"PvdD","NSC",-0.336749870942855,-0.336749870942855,6
"PvdD","SP",1.38368487294467,1.38368487294467,67
"PvdD","D66",0.73760112202911,0.73760112202911,56
"PvdD","ChristenUnie",0.393514173251605,0.393514173251605,18
"Volt","PvdD",1.13535300777191,1.13535300777191,25
"PvdD","JA21",-1.02913278316181,-1.02913278316181,3
"PvdD","FVD",-1.04281208081963,-1.04281208081963,0
"PvdD","BBB",-0.957579533874745,-0.957579533874745,2
"CDA","PVV",-0.0515891274605806,-0.0515891274605806,11
"CDA","VVD",0.896491425593034,0.896491425593034,96
"CDA","SGP",0.836512966631818,0.836512966631818,109
"NSC","CDA",1.01118707518554,1.01118707518554,117
"SP","CDA",-0.0631639177864294,-0.0631639177864294,58
"D66","CDA",0.688145199727756,0.688145199727756,128
"ChristenUnie","CDA",0.937529318566498,0.937529318566498,204
"Volt","CDA",0.366155577935962,0.366155577935962,30
"CDA","JA21",0.264086972335296,0.264086972335296,13
"CDA","FVD",-0.416721149557811,-0.416721149557811,0
"CDA","BBB",0.670256887405989,0.670256887405989,16
"VVD","PVV",0.571345042803282,0.571345042803282,35
"SGP","PVV",0.293550074982911,0.293550074982911,13
"NSC","PVV",0.273557255329172,0.273557255329172,28
"SP","PVV",-1.06175264680738,-1.06175264680738,2
"D66","PVV",-0.809211766970683,-0.809211766970683,5
"ChristenUnie","PVV",-0.38304903224625,-0.38304903224625,13
"Volt","PVV",-1.08279772012711,-1.08279772012711,0
"PVV","JA21",0.662891111744086,0.662891111744086,7
"PVV","FVD",0.345110504616237,0.345110504616237,1
"BBB","PVV",0.834408459299845,0.834408459299845,37
"VVD","SGP",0.72918309270122,0.72918309270122,65
"NSC","VVD",1.11115117345423,1.11115117345423,141
"SP","VVD",-0.660844000066621,-0.660844000066621,31
"D66","VVD",0.143077800746876,0.143077800746876,105
"ChristenUnie","VVD",0.344058250950251,0.344058250950251,128
"Volt","VVD",-0.26519662165579,-0.26519662165579,16
"VVD","JA21",0.571345042803282,0.571345042803282,20
"VVD","FVD",-0.269405636319735,-0.269405636319735,0
"VVD","BBB",1.13114399310797,1.13114399310797,76
"NSC","SGP",0.833356205633859,0.833356205633859,78
"SP","SGP",-0.327279587948979,-0.327279587948979,18
"D66","SGP",0.213578796367955,0.213578796367955,42
"ChristenUnie","SGP",0.770220985674684,0.770220985674684,176
"Volt","SGP",-0.0557981421245256,-0.0557981421245256,2
"SGP","JA21",0.632375755430484,0.632375755430484,29
"SGP","FVD",0.0410091951462098,0.0410091951462098,2
"BBB","SGP",0.873341844941336,0.873341844941336,48
"SP","NSC",-0.0915747667680582,-0.0915747667680582,38
"D66","NSC",0.485060242192409,0.485060242192409,94
"ChristenUnie","NSC",0.781795776000532,0.781795776000532,196
"Volt","NSC",0.194638230380203,0.194638230380203,10
"NSC","JA21",0.349319519280182,0.349319519280182,9
"NSC","FVD",-0.266248875321776,-0.266248875321776,0
"NSC","BBB",0.953313123556292,0.953313123556292,65
"D66","SP",0.772325493006656,0.772325493006656,99
"SP","ChristenUnie",0.590285608791034,0.590285608791034,51
"Volt","SP",1.02697088017533,1.02697088017533,19
"SP","JA21",-0.712404429699948,-0.712404429699948,2
"SP","FVD",-0.705038654038044,-0.705038654038044,0
"SP","BBB",-0.649269209740773,-0.649269209740773,5
"D66","ChristenUnie",0.98172397253792,0.98172397253792,143
"Volt","D66",1.45418586856575,1.45418586856575,62
"D66","JA21",-0.318861558621089,-0.318861558621089,17
"D66","FVD",-0.873399240595845,-0.873399240595845,0
"D66","BBB",-0.121037869415673,-0.121037869415673,16
"Volt","ChristenUnie",0.916484245246773,0.916484245246773,28
"ChristenUnie","JA21",0.0725768051257974,0.0725768051257974,14
"ChristenUnie","FVD",-0.47038608652311,-0.47038608652311,0
"ChristenUnie","BBB",0.284079791989034,0.284079791989034,23
"Volt","JA21",-0.552461872470037,-0.552461872470037,1
"Volt","FVD",-0.955475026542772,-0.955475026542772,0
"Volt","BBB",-0.483013130514945,-0.483013130514945,1
"JA21","FVD",0.299863596978828,0.299863596978828,0
"BBB","JA21",0.822833668973996,0.822833668973996,19
"BBB","FVD",0.146234561744835,0.146234561744835,0
"NSC","NSC",-3.17467800810778,-3.17467800810778,0
"VVD","VVD",-3.17467800810778,-3.17467800810778,0
"PVV","PVV",-3.17467800810778,-3.17467800810778,0
"D66","GroenLinks",-3.17467800810778,-3.17467800810778,0
"SP","GroenLinks",-3.17467800810778,-3.17467800810778,0
