"from","to","weight_normalized","weight","coauthoring_count"
"Volt","DENK",1.07266247150962,1.07266247150962,13
"DENK","SGP",0.29745435614496,0.29745435614496,2
"DENK","FVD",-0.351340925059517,-0.351340925059517,0
"DENK","PVV",0.0186025160857291,0.0186025160857291,9
"BIJ1","DENK",0.684128907693759,0.684128907693759,25
"DENK","BBB",0.634865082616629,0.634865082616629,5
"DENK","CDA",0.122707203041175,0.122707203041175,11
"DENK","PvdA",1.10333617391614,1.10333617391614,41
"DENK","GroenLinks",1.09961814938201,1.09961814938201,27
"D66","DENK",0.35880176095799,0.35880176095799,27
"DENK","VVD",0.00558943021629834,0.00558943021629834,6
"DENK","Omtzigt",0.427585214839267,0.427585214839267,8
"DENK","JA21",-0.0538989623296708,-0.0538989623296708,1
"DENK","ChristenUnie",0.34578867508856,0.34578867508856,14
"DENK","SP",1.04849531203782,1.04849531203782,11
"PvdD","DENK",0.981570870423605,0.981570870423605,6
"Volt","SGP",0.240754481999583,0.240754481999583,5
"Volt","FVD",-0.775195721949547,-0.775195721949547,0
"Volt","PVV",-0.40339326853724,-0.40339326853724,1
"BIJ1","Volt",0.768713965845059,0.768713965845059,8
"Volt","BBB",0.281652751874937,0.281652751874937,4
"Volt","CDA",0.229600408397214,0.229600408397214,20
"Volt","PvdA",1.5160368972038,1.5160368972038,42
"Volt","GroenLinks",1.51417788493674,1.51417788493674,48
"Volt","D66",0.703648536497905,0.703648536497905,25
"Volt","VVD",0.0808794270322906,0.0808794270322906,11
"Volt","Omtzigt",0.361590279358583,0.361590279358583,12
"Volt","JA21",-0.365283517062478,-0.365283517062478,4
"Volt","ChristenUnie",0.534478420195306,0.534478420195306,17
"Volt","SP",1.00573802989541,1.00573802989541,11
"Volt","PvdD",1.15445901126033,1.15445901126033,22
"SGP","FVD",0.0539237491598983,0.0539237491598983,1
"SGP","PVV",0.264921641471383,0.264921641471383,32
"BIJ1","SGP",-0.33089179012184,-0.33089179012184,0
"BBB","SGP",0.775220508779775,0.775220508779775,38
"CDA","SGP",0.764066435177405,0.764066435177405,46
"SGP","PvdA",0.172900534251837,0.172900534251837,17
"SGP","GroenLinks",0.174759546518898,0.174759546518898,10
"D66","SGP",0.424796696438675,0.424796696438675,10
"VVD","SGP",0.666468291156675,0.666468291156675,51
"Omtzigt","SGP",0.683199401560229,0.683199401560229,27
"SGP","JA21",0.584671751405967,0.584671751405967,24
"ChristenUnie","SGP",0.725956683702644,0.725956683702644,60
"SP","SGP",0.137579301177667,0.137579301177667,6
"PvdD","SGP",-0.0185777292555016,-0.0185777292555016,5
"PVV","FVD",0.834708901325744,0.834708901325744,1
"BIJ1","FVD",-0.779843252617201,-0.779843252617201,0
"BBB","FVD",0.343000156687967,0.343000156687967,0
"CDA","FVD",-0.414547342139609,-0.414547342139609,0
"FVD","PvdA",-0.791926832353101,-0.791926832353101,0
"FVD","GroenLinks",-0.791926832353101,-0.791926832353101,0
"D66","FVD",-0.783561277151324,-0.783561277151324,1
"VVD","FVD",-0.394098207201932,-0.394098207201932,0
"Omtzigt","FVD",-0.230505127700517,-0.230505127700517,1
"JA21","FVD",0.670186315690798,0.670186315690798,1
"ChristenUnie","FVD",-0.626474740584624,-0.626474740584624,1
"SP","FVD",-0.387591664267217,-0.387591664267217,0
"PvdD","FVD",-0.619968197649909,-0.619968197649909,2
"BIJ1","PVV",-0.540960176299794,-0.540960176299794,0
"BBB","PVV",0.597684837275398,0.597684837275398,28
"CDA","PVV",-0.254672287172317,-0.254672287172317,18
"PVV","PvdA",-0.373649072264255,-0.373649072264255,25
"PVV","GroenLinks",-0.369931047730132,-0.369931047730132,10
"D66","PVV",-0.562338817371001,-0.562338817371001,6
"VVD","PVV",-0.240729695169355,-0.240729695169355,36
"Omtzigt","PVV",0.0418401694239983,0.0418401694239983,12
"PVV","JA21",0.747335324773852,0.747335324773852,25
"ChristenUnie","PVV",-0.364354010928947,-0.364354010928947,5
"SP","PVV",-0.0520399500626093,-0.0520399500626093,22
"PvdD","PVV",-0.321596728786532,-0.321596728786532,17
"BIJ1","BBB",-0.0576169868637939,-0.0576169868637939,1
"BIJ1","CDA",-0.468458697884394,-0.468458697884394,1
"BIJ1","PvdA",0.773361496512713,0.773361496512713,14
