"party","left_right","conservative_progressive","quadrant"
"BIJ1",-0.960451977,0.929478138,"Left-Progressive"
"Volt",-0.13559322,0.850493653,"Left-Progressive"
"PvdD",-0.960451977,0.827926657,"Left-Progressive"
"GroenLinks-PvdA",-0.550847458,0.675599436,"Left-Progressive"
"D66",-0.036723164,0.585331453,"Left-Progressive"
"DENK",-0.686440678,0.322990127,"Left-Progressive"
"SP",-0.779661017,0.218617772,"Left-Progressive"
"ChristenUnie",-0.324858757,0.215796897,"Left-Progressive"
"50PLUS",-0.225988701,-0.021156559,"Left-Conservative"
"NSC",-0.087570621,-0.069111425,"Left-Conservative"
"Omtzigt",-0.087570621,-0.069111425,"Left-Conservative"
"CDA",0.225988701,-0.238363893,"Right-Conservative"
"VVD",0.505649718,-0.311706629,"Right-Conservative"
"BBB",0.096045198,-0.418899859,"Right-Conservative"
"SGP",0.271186441,-0.418899859,"Right-Conservative"
"PVV",0.087570621,-0.726375176,"Right-Conservative"
"JA21",0.776836158,-0.89280677,"Right-Conservative"
"BVNL",1,-0.889985896,"Right-Conservative"
"FVD",0.63559322,-0.926657264,"Right-Conservative"
"GroenLinks",-0.708628006,0.664772727,"Left-Progressive"
"PvdA",-0.652050919377652,0.490012429,"Left-Progressive"
