"party","left_right","conservative_progressive","active","degree","strength","party_type"
"50PLUS",-0.225988701,-0.021156559,FALSE,1,0.001,"Left"
"BBB",0.096045198,-0.418899859,TRUE,16,7260,"Center"
"BIJ1",-0.960451977,0.929478138,FALSE,1,0.001,"Left"
"Brinkman",NA,NA,FALSE,1,0.001,"Center"
"CDA",0.225988701,-0.238363893,TRUE,14,7577,"Right"
"ChristenUnie",-0.324858757,0.215796897,TRUE,14,7784,"Left"
"D66",-0.036723164,0.585331453,TRUE,16,7723,"Center"
"DENK",-0.686440678,0.322990127,TRUE,14,6887,"Left"
"Ephraim",NA,NA,FALSE,1,0.001,"Center"
"FVD",0.63559322,-0.926657264,TRUE,14,5856,"Right"
"Fractie Den Haan",NA,NA,FALSE,1,0.001,"Center"
"G<U+00FC>ndogan",NA,NA,FALSE,1,0.001,"Center"
"GroenLinks",NA,NA,TRUE,0,0,"Center"
"GroenLinks-PvdA",-0.550847458,0.675599436,TRUE,27,7270.011,"Left"
"Groep Krol/vKA",NA,NA,FALSE,1,0.001,"Center"
"Groep Van Haga",NA,NA,FALSE,1,0.001,"Center"
"Houwers",NA,NA,TRUE,0,0,"Center"
"JA21",0.776836158,-0.89280677,TRUE,14,6335,"Right"
"NSC",-0.087570621,-0.069111425,TRUE,16,7888,"Center"
"Omtzigt",NA,NA,FALSE,1,0.001,"Center"
"PVV",0.087570621,-0.726375176,TRUE,16,6383,"Center"
"PvdA",NA,NA,FALSE,1,0.001,"Center"
"PvdD",-0.960451977,0.827926657,TRUE,16,6630,"Left"
"SGP",0.271186441,-0.418899859,TRUE,14,7156,"Right"
"SP",-0.779661017,0.218617772,TRUE,14,7041,"Left"
"VVD",0.505649718,-0.311706629,TRUE,16,6839,"Right"
"Van Haga",NA,NA,FALSE,1,0.001,"Center"
"Volt",-0.13559322,0.850493653,TRUE,14,7179,"Center"
