"party","left_right","conservative_progressive","active","degree","strength","party_type"
"50PLUS",-0.225988701,-0.021156559,TRUE,0,0,"Left"
"BBB",0.096045198,-0.418899859,TRUE,20,40623,"Center"
"BIJ1",-0.960451977,0.929478138,TRUE,20,35486,"Left"
"Brinkman",NA,NA,TRUE,0,0,"Center"
"CDA",0.225988701,-0.238363893,TRUE,22,39861,"Right"
"ChristenUnie",-0.324858757,0.215796897,TRUE,22,41168,"Left"
"D66",-0.036723164,0.585331453,TRUE,22,40550,"Center"
"DENK",-0.686440678,0.322990127,TRUE,25,42947.003,"Left"
"Ephraim",NA,NA,TRUE,20,3451,"Center"
"FVD",0.63559322,-0.926657264,TRUE,22,31984,"Right"
"Fractie Den Haan",NA,NA,TRUE,20,40933,"Center"
"G<U+00FC>ndogan",NA,NA,TRUE,20,34569,"Center"
"GroenLinks",NA,NA,TRUE,22,43170,"Center"
"GroenLinks-PvdA",-0.550847458,0.675599436,FALSE,1,0.001,"Left"
"Groep Krol/vKA",NA,NA,TRUE,0,0,"Center"
"Groep Van Haga",NA,NA,TRUE,22,35552,"Center"
"Houwers",NA,NA,FALSE,1,0.001,"Center"
"JA21",0.776836158,-0.89280677,TRUE,20,36102,"Right"
"NSC",-0.087570621,-0.069111425,FALSE,1,0.001,"Center"
"Omtzigt",NA,NA,TRUE,20,38368,"Center"
"PVV",0.087570621,-0.726375176,TRUE,22,35719,"Center"
"PvdA",NA,NA,TRUE,22,43124,"Center"
"PvdD",-0.960451977,0.827926657,TRUE,22,41041,"Left"
"SGP",0.271186441,-0.418899859,TRUE,22,41021,"Right"
"SP",-0.779661017,0.218617772,TRUE,22,41719,"Left"
"VVD",0.505649718,-0.311706629,TRUE,22,38518,"Right"
"Van Haga",NA,NA,TRUE,0,0,"Center"
"Volt",-0.13559322,0.850493653,TRUE,20,43062,"Center"
